#"T" "Points:0" "Points:1" "Points:2"
1.4227 0.56 0.016847 0
1.4115 0.57 0.016847 0
1.3987 0.58 0.016847 0
1.3844 0.59 0.016847 0
1.3685 0.6 0.016847 0
1.3513 0.61 0.016847 0
1.3326 0.62 0.016847 0
1.3127 0.63 0.016847 0
1.2916 0.64 0.016847 0
1.2693 0.65 0.016847 0
1.246 0.66 0.016847 0
1.2218 0.67 0.016847 0
1.1967 0.68 0.016847 0
1.1709 0.69 0.016847 0
1.1444 0.7 0.016847 0
1.1174 0.71 0.016847 0
1.0899 0.72 0.016847 0
1.0621 0.73 0.016847 0
1.0341 0.74 0.016847 0
1.006 0.75 0.016847 0
0.97791 0.76 0.016847 0
0.94993 0.77 0.016847 0
0.92217 0.78 0.016847 0
0.89474 0.79 0.016847 0
0.86777 0.8 0.016847 0
0.84135 0.81 0.016847 0
0.81558 0.82 0.016847 0
0.79057 0.83 0.016847 0
0.76643 0.84 0.016847 0
0.74323 0.85 0.016847 0
0.72108 0.86 0.016847 0
0.70006 0.87 0.016847 0
0.68025 0.88 0.016847 0
0.66173 0.89 0.016847 0
0.64457 0.9 0.016847 0
0.62884 0.91 0.016847 0
0.61461 0.92 0.016847 0
0.60191 0.93 0.016847 0
0.59081 0.94 0.016847 0
0.58135 0.95 0.016847 0
0.57355 0.96 0.016847 0
0.56746 0.97 0.016847 0
0.56309 0.98 0.016847 0
0.56046 0.99 0.016847 0
0.55959 1 0.016847 0
0.57425 0 0.021417 0
0.5751 0.01 0.021417 0
0.57765 0.02 0.021417 0
0.58188 0.03 0.021417 0
0.58779 0.04 0.021417 0
0.59535 0.05 0.021417 0
0.60453 0.06 0.021417 0
0.61529 0.07 0.021417 0
0.6276 0.08 0.021417 0
0.64141 0.09 0.021417 0
0.65667 0.1 0.021417 0
0.67331 0.11 0.021417 0
0.69128 0.12 0.021417 0
0.71049 0.13 0.021417 0
0.73089 0.14 0.021417 0
0.75238 0.15 0.021417 0
0.77489 0.16 0.021417 0
0.79832 0.17 0.021417 0
0.82259 0.18 0.021417 0
0.8476 0.19 0.021417 0
0.87324 0.2 0.021417 0
0.89942 0.21 0.021417 0
0.92604 0.22 0.021417 0
0.95299 0.23 0.021417 0
0.98015 0.24 0.021417 0
1.0074 0.25 0.021417 0
1.0347 0.26 0.021417 0
1.0619 0.27 0.021417 0
1.0889 0.28 0.021417 0
1.1156 0.29 0.021417 0
1.1418 0.3 0.021417 0
1.1675 0.31 0.021417 0
1.1926 0.32 0.021417 0
1.217 0.33 0.021417 0
1.2405 0.34 0.021417 0
1.2631 0.35 0.021417 0
1.2847 0.36 0.021417 0
1.3052 0.37 0.021417 0
1.3246 0.38 0.021417 0
1.3427 0.39 0.021417 0
1.3594 0.4 0.021417 0
1.3748 0.41 0.021417 0
1.3887 0.42 0.021417 0
1.4012 0.43 0.021417 0
1.412 0.44 0.021417 0
1.4213 0.45 0.021417 0
1.4289 0.46 0.021417 0
1.4349 0.47 0.021417 0
1.4392 0.48 0.021417 0
1.4417 0.49 0.021417 0
1.4426 0.5 0.021417 0
1.4417 0.51 0.021417 0
1.4392 0.52 0.021417 0
1.4349 0.53 0.021417 0
1.4289 0.54 0.021417 0
1.4213 0.55 0.021417 0
1.412 0.56 0.021417 0
1.4012 0.57 0.021417 0
1.3887 0.58 0.021417 0
1.3748 0.59 0.021417 0
1.3594 0.6 0.021417 0
1.3427 0.61 0.021417 0
1.3246 0.62 0.021417 0
1.3052 0.63 0.021417 0
1.2847 0.64 0.021417 0
1.2631 0.65 0.021417 0
1.2405 0.66 0.021417 0
1.217 0.67 0.021417 0
1.1926 0.68 0.021417 0
1.1675 0.69 0.021417 0
1.1418 0.7 0.021417 0
1.1156 0.71 0.021417 0
1.0889 0.72 0.021417 0
1.0619 0.73 0.021417 0
1.0347 0.74 0.021417 0
1.0074 0.75 0.021417 0
