#"p" "T" "U:0" "U:1" "U:2" "Points:0" "Points:1" "Points:2"
-0.78597 0.76822 -0.34736 -0.02656 0 0.83 0.0040066 0
-1.3114 0.74198 -0.26979 -0.029093 0 0.84 0.0040066 0
-1.7592 0.71677 -0.18932 -0.031447 0 0.85 0.0040066 0
-2.1279 0.69269 -0.10652 -0.033606 0 0.86 0.0040066 0
-2.4173 0.66983 -0.021898 -0.035553 0 0.87 0.0040066 0
-2.6278 0.64829 0.064053 -0.03727 0 0.88 0.0040066 0
-2.761 0.62814 0.1509 -0.038742 0 0.89 0.0040066 0
-2.8195 0.60946 0.23827 -0.039954 0 0.9 0.0040066 0
-2.8068 0.59232 0.32584 -0.040892 0 0.91 0.0040066 0
-2.7272 0.5768 0.41336 -0.041544 0 0.92 0.0040066 0
-2.5857 0.56294 0.50063 -0.041903 0 0.93 0.0040066 0
-2.388 0.55081 0.58754 -0.041964 0 0.94 0.0040066 0
-2.1398 0.54044 0.67403 -0.041725 0 0.95 0.0040066 0
-1.847 0.53187 0.7601 -0.04119 0 0.96 0.0040066 0
-1.5155 0.52514 0.8458 -0.040368 0 0.97 0.0040066 0
-1.1501 0.52028 0.93123 -0.039272 0 0.98 0.0040066 0
-0.7553 0.5173 1.0165 -0.037918 0 0.99 0.0040066 0
-0.33465 0.51622 1.1019 -0.03633 0 1 0.0040066 0
-0.56762 0.53202 1.0771 -0.072319 0 0 0.0081471 0
-0.13207 0.53268 1.158 -0.068867 0 0.01 0.0081471 0
0.32698 0.53517 1.2393 -0.065052 0 0.02 0.0081471 0
0.80879 0.53948 1.3213 -0.060924 0 0.03 0.0081471 0
1.3135 0.54561 1.404 -0.056533 0 0.04 0.0081471 0
1.8418 0.55353 1.4876 -0.051926 0 0.05 0.0081471 0
2.395 0.56322 1.5719 -0.047148 0 0.06 0.0081471 0
2.9745 0.57464 1.6571 -0.042237 0 0.07 0.0081471 0
3.5817 0.58776 1.7429 -0.037227 0 0.08 0.0081471 0
4.2182 0.60252 1.8293 -0.032147 0 0.09 0.0081471 0
4.885 0.61887 1.9159 -0.027019 0 0.1 0.0081471 0
5.5831 0.63676 2.0026 -0.02186 0 0.11 0.0081471 0
6.3127 0.6561 2.089 -0.016683 0 0.12 0.0081471 0
7.0733 0.67684 2.1746 -0.011497 0 0.13 0.0081471 0
7.8644 0.69888 2.2591 -0.0063068 0 0.14 0.0081471 0
8.6844 0.72215 2.3419 -0.0011148 0 0.15 0.0081471 0
9.5315 0.74654 2.4226 0.0040769 0 0.16 0.0081471 0
10.403 0.77198 2.5005 0.0092677 0 0.17 0.0081471 0
11.296 0.79834 2.5751 0.014457 0 0.18 0.0081471 0
12.208 0.82554 2.6458 0.019644 0 0.19 0.0081471 0
13.134 0.85345 2.7121 0.024828 0 0.2 0.0081471 0
14.072 0.88198 2.7732 0.030005 0 0.21 0.0081471 0
15.016 0.911 2.8287 0.035171 0 0.22 0.0081471 0
15.963 0.9404 2.878 0.040321 0 0.23 0.0081471 0
16.907 0.97006 2.9206 0.045446 0 0.24 0.0081471 0
17.846 0.99987 2.9559 0.050539 0 0.25 0.0081471 0
18.773 1.0297 2.9834 0.055588 0 0.26 0.0081471 0
19.686 1.0594 3.0029 0.060581 0 0.27 0.0081471 0
20.579 1.0889 3.0138 0.065503 0 0.28 0.0081471 0
21.447 1.1181 3.0159 0.070332 0 0.29 0.0081471 0
22.286 1.1469 3.009 0.075066 0 0.3 0.0081471 0
23.093 1.175 2.9928 0.079685 0 0.31 0.0081471 0
23.864 1.2025 2.9672 0.084163 0 0.32 0.0081471 0
24.595 1.2292 2.9322 0.088484 0 0.33 0.0081471 0
25.281 1.255 2.8878 0.092628 0 0.34 0.0081471 0
25.921 1.2799 2.834 0.096576 0 0.35 0.0081471 0
26.509 1.3036 2.771 0.10031 0 0.36 0.0081471 0
27.044 1.3261 2.6991 0.1038 0 0.37 0.0081471 0
27.523 1.3474 2.6185 0.10704 0 0.38 0.0081471 0
27.943 1.3672 2.5296 0.11001 0 0.39 0.0081471 0
28.302 1.3857 2.4328 0.11269 0 0.4 0.0081471 0
28.597 1.4026 2.3287 0.11505 0 0.41 0.0081471 0
28.828 1.4179 2.2177 0.11709 0 0.42 0.0081471 0
28.992 1.4316 2.1005 0.11879 0 0.43 0.0081471 0
29.088 1.4436 1.9778 0.12014 0 0.44 0.0081471 0
29.116 1.4539 1.8501 0.12112 0 0.45 0.0081471 0
29.075 1.4623 1.7184 0.12172 0 0.46 0.0081471 0
28.964 1.4689 1.5832 0.12194 0 0.47 0.0081471 0
28.784 1.4737 1.4455 0.12177 0 0.48 0.0081471 0
28.535 1.4767 1.306 0.12121 0 0.49 0.0081471 0
28.217 1.4777 1.1655 0.12024 0 0.5 0.0081471 0
27.832 1.4769 1.025 0.11887 0 0.51 0.0081471 0
27.38 1.4742 0.88523 0.11711 0 0.52 0.0081471 0
26.862 1.4696 0.74702 0.11495 0 0.53 0.0081471 0
26.282 1.4631 0.61119 0.1124 0 0.54 0.0081471 0
25.64 1.4549 0.47853 0.10947 0 0.55 0.0081471 0
24.939 1.4449 0.34983 0.10616 0 0.56 0.0081471 0
24.182 1.4331 0.22581 0.10249 0 0.57 0.0081471 0
23.372 1.4196 0.10717 0.098475 0 0.58 0.0081471 0
22.512 1.4044 -0.0054424 0.09412 0 0.59 0.0081471 0
21.605 1.3877 -0.11142 0.089446 0 0.6 0.0081471 0
20.656 1.3695 -0.21021 0.084471 0 0.61 0.0081471 0
19.667 1.3498 -0.30133 0.079213 0 0.62 0.0081471 0
18.645 1.3288 -0.38435 0.073693 0 0.63 0.0081471 0
17.593 1.3064 -0.45891 0.067933 0 0.64 0.0081471 0
16.515 1.2829 -0.52471 0.061955 0 0.65 0.0081471 0
15.418 1.2583 -0.58152 0.055784 0 0.66 0.0081471 0
14.306 1.2327 -0.62919 0.049444 0 0.67 0.0081471 0
13.184 1.2061 -0.66763 0.04296 0 0.68 0.0081471 0
12.059 1.1788 -0.69684 0.036358 0 0.69 0.0081471 0
10.935 1.1508 -0.71686 0.029664 0 0.7 0.0081471 0
9.8192 1.1223 -0.72782 0.022906 0 0.71 0.0081471 0
8.7168 1.0932 -0.7299 0.016112 0 0.72 0.0081471 0
7.6334 1.0639 -0.72337 0.0093085 0 0.73 0.0081471 0
6.5753 1.0343 -0.70852 0.0025228 0 0.74 0.0081471 0
5.5483 1.0046 -0.68572 -0.0042158 0 0.75 0.0081471 0
4.5584 0.97489 -0.65539 -0.010878 0 0.76 0.0081471 0
3.6111 0.94533 -0.61798 -0.017436 0 0.77 0.0081471 0
2.712 0.91602 -0.57398 -0.02386 0 0.78 0.0081471 0
1.8661 0.88707 -0.52392 -0.030119 0 0.79 0.0081471 0
1.0784 0.8586 -0.46835 -0.036184 0 0.8 0.0081471 0
0.35328 0.83072 -0.40783 -0.042023 0 0.81 0.0081471 0
-0.3052 0.80354 -0.34294 -0.047605 0 0.82 0.0081471 0
-0.89368 0.77716 -0.27423 -0.052898 0 0.83 0.0081471 0
-1.4094 0.75169 -0.20228 -0.057869 0 0.84 0.0081471 0
-1.8504 0.72722 -0.12763 -0.062485 0 0.85 0.0081471 0
-2.2154 0.70385 -0.050787 -0.066714 0 0.86 0.0081471 0
-2.5041 0.68167 0.027752 -0.070523 0 0.87 0.0081471 0
-2.7169 0.66077 0.10755 -0.073879 0 0.88 0.0081471 0
-2.8554 0.64122 0.18821 -0.076753 0 0.89 0.0081471 0
-2.9218 0.62309 0.26938 -0.079117 0 0.9 0.0081471 0
-2.9195 0.60645 0.3508 -0.080948 0 0.91 0.0081471 0
-2.8522 0.59137 0.43223 -0.082224 0 0.92 0.0081471 0
-2.7245 0.5779 0.51351 -0.082931 0 0.93 0.0081471 0
-2.5416 0.56609 0.59456 -0.083063 0 0.94 0.0081471 0
