#           x    enthalpy diffusivity temperature    porosity liquid_fraction 
+1.84375e+01 +1.04865e-01 +1.07340e+00 +1.01919e-01 +3.99982e-01 +2.84076e-05
+1.85938e+01 +9.25888e-02 +1.06542e+00 +9.02782e-02 +3.99982e-01 +2.58847e-05
+1.87500e+01 +8.17464e-02 +1.05825e+00 +7.99351e-02 +3.99982e-01 +2.38433e-05
+1.89062e+01 +7.21706e-02 +1.05182e+00 +7.07517e-02 +3.99982e-01 +2.21747e-05
+1.90625e+01 +6.37137e-02 +1.04606e+00 +6.26031e-02 +3.99982e-01 +2.07985e-05
+1.92188e+01 +5.62456e-02 +1.04091e+00 +5.53768e-02 +3.99982e-01 +1.96544e-05
+1.93750e+01 +4.96511e-02 +1.03630e+00 +4.89718e-02 +3.99982e-01 +1.86965e-05
+1.95312e+01 +4.38282e-02 +1.03220e+00 +4.32975e-02 +3.99982e-01 +1.78896e-05
+1.96875e+01 +3.86869e-02 +1.02854e+00 +3.82724e-02 +3.99982e-01 +1.72062e-05
+1.98438e+01 +3.41476e-02 +1.02529e+00 +3.38241e-02 +3.99982e-01 +1.66245e-05
+2.00000e+01 +3.01398e-02 +1.02239e+00 +2.98875e-02 +3.99982e-01 +1.61273e-05
+2.01562e+01 +2.66015e-02 +1.01982e+00 +2.64047e-02 +3.99982e-01 +1.57007e-05
+2.03125e+01 +2.34775e-02 +1.01754e+00 +2.33242e-02 +3.99982e-01 +1.53334e-05
+2.04688e+01 +2.07193e-02 +1.01552e+00 +2.05999e-02 +3.99982e-01 +1.50163e-05
+2.06250e+01 +1.82840e-02 +1.01372e+00 +1.81911e-02 +3.99982e-01 +1.47418e-05
+2.07812e+01 +1.61337e-02 +1.01213e+00 +1.60615e-02 +3.99982e-01 +1.45036e-05
+2.09375e+01 +1.42349e-02 +1.01072e+00 +1.41789e-02 +3.99982e-01 +1.42964e-05
+2.10938e+01 +1.25582e-02 +1.00947e+00 +1.25147e-02 +3.99982e-01 +1.41159e-05
+2.12500e+01 +1.10773e-02 +1.00837e+00 +1.10437e-02 +3.99982e-01 +1.39584e-05
+2.14062e+01 +9.76917e-03 +1.00739e+00 +9.74326e-03 +3.99982e-01 +1.38208e-05
+2.15625e+01 +8.61354e-03 +1.00652e+00 +8.59360e-03 +3.99982e-01 +1.37003e-05
+2.17188e+01 +7.59237e-03 +1.00575e+00 +7.57710e-03 +3.99982e-01 +1.35947e-05
+2.18750e+01 +6.68978e-03 +1.00508e+00 +6.67815e-03 +3.99982e-01 +1.35021e-05
+2.20312e+01 +5.89171e-03 +1.00447e+00 +5.88291e-03 +3.99982e-01 +1.34207e-05
+2.21875e+01 +5.18575e-03 +1.00394e+00 +5.17916e-03 +3.99982e-01 +1.33491e-05
+2.23438e+01 +4.56091e-03 +1.00347e+00 +4.55604e-03 +3.99982e-01 +1.32860e-05
+2.25000e+01 +4.00746e-03 +1.00305e+00 +4.00393e-03 +3.99982e-01 +1.32304e-05
+2.26562e+01 +3.51678e-03 +1.00268e+00 +3.51430e-03 +3.99982e-01 +1.31813e-05
+2.28125e+01 +3.08124e-03 +1.00235e+00 +3.07957e-03 +3.99982e-01 +1.31379e-05
+2.29688e+01 +2.69406e-03 +1.00206e+00 +2.69302e-03 +3.99982e-01 +1.30994e-05
+2.31250e+01 +2.34919e-03 +1.00179e+00 +2.34864e-03 +3.99982e-01 +1.30653e-05
+2.32812e+01 +2.04126e-03 +1.00156e+00 +2.04110e-03 +3.99982e-01 +1.30348e-05
+2.34375e+01 +1.76546e-03 +1.00135e+00 +1.76560e-03 +3.99982e-01 +1.30076e-05
+2.35938e+01 +1.51749e-03 +1.00116e+00 +1.51786e-03 +3.99982e-01 +1.29832e-05
+2.37500e+01 +1.29348e-03 +1.00099e+00 +1.29403e-03 +3.99982e-01 +1.29612e-05
+2.39062e+01 +1.08991e-03 +1.00084e+00 +1.09060e-03 +3.99982e-01 +1.29412e-05
+2.40625e+01 +9.03614e-04 +1.00070e+00 +9.04407e-04 +3.99982e-01 +1.29229e-05
+2.42188e+01 +7.31662e-04 +1.00057e+00 +7.32534e-04 +3.99982e-01 +1.29061e-05
+2.43750e+01 +5.71372e-04 +1.00044e+00 +5.72304e-04 +3.99982e-01 +1.28904e-05
+2.45312e+01 +4.20245e-04 +1.00033e+00 +4.21220e-04 +3.99982e-01 +1.28757e-05
+2.46875e+01 +2.75965e-04 +1.00022e+00 +2.76969e-04 +3.99982e-01 +1.28616e-05
+2.48438e+01 +1.36367e-04 +1.00011e+00 +1.37388e-04 +3.99982e-01 +1.28480e-05
+2.50000e+01 -3.04396e-07 +1.00001e+00 +7.21734e-07 +3.99982e-01 +1.28347e-05
