#"T"	"Points:0"	"Points:1"	"Points:2"
1.0773	0.49	0.07	0
1.0774	0.5	0.07	0
0.98348	0	0.08	0
0.98357	0.01	0.08	0
0.98386	0.02	0.08	0
0.98433	0.03	0.08	0
0.98499	0.04	0.08	0
0.98583	0.05	0.08	0
0.98685	0.06	0.08	0
0.98804	0.07	0.08	0
0.98941	0.08	0.08	0
0.99094	0.09	0.08	0
0.99263	0.1	0.08	0
0.99448	0.11	0.08	0
0.99647	0.12	0.08	0
0.99859	0.13	0.08	0
1.0008	0.14	0.08	0
1.0032	0.15	0.08	0
1.0057	0.16	0.08	0
1.0083	0.17	0.08	0
1.011	0.18	0.08	0
1.0137	0.19	0.08	0
1.0165	0.2	0.08	0
1.0194	0.21	0.08	0
1.0223	0.22	0.08	0
1.0253	0.23	0.08	0
1.0283	0.24	0.08	0
1.0313	0.25	0.08	0
1.0342	0.26	0.08	0
1.0372	0.27	0.08	0
1.0402	0.28	0.08	0
1.0431	0.29	0.08	0
1.0459	0.3	0.08	0
1.0487	0.31	0.08	0
1.0515	0.32	0.08	0
1.0541	0.33	0.08	0
1.0567	0.34	0.08	0
1.0592	0.35	0.08	0
1.0615	0.36	0.08	0
1.0637	0.37	0.08	0
1.0658	0.38	0.08	0
1.0678	0.39	0.08	0
1.0696	0.4	0.08	0
1.0713	0.41	0.08	0
1.0728	0.42	0.08	0
1.0742	0.43	0.08	0
1.0753	0.44	0.08	0
1.0763	0.45	0.08	0
1.0772	0.46	0.08	0
1.0778	0.47	0.08	0
1.0783	0.48	0.08	0
1.0786	0.49	0.08	0
1.0787	0.5	0.08	0
0.98198	0	0.09	0
0.98208	0.01	0.09	0
0.98237	0.02	0.09	0
0.98286	0.03	0.09	0
0.98353	0.04	0.09	0
0.9844	0.05	0.09	0
0.98545	0.06	0.09	0
0.98669	0.07	0.09	0
0.98809	0.08	0.09	0
0.98967	0.09	0.09	0
0.99142	0.1	0.09	0
0.99332	0.11	0.09	0
0.99537	0.12	0.09	0
0.99756	0.13	0.09	0
0.99988	0.14	0.09	0
1.0023	0.15	0.09	0
1.0049	0.16	0.09	0
1.0076	0.17	0.09	0
1.0103	0.18	0.09	0
1.0131	0.19	0.09	0
1.0161	0.2	0.09	0
1.019	0.21	0.09	0
1.022	0.22	0.09	0
1.0251	0.23	0.09	0
1.0282	0.24	0.09	0
1.0312	0.25	0.09	0
1.0343	0.26	0.09	0
1.0374	0.27	0.09	0
1.0404	0.28	0.09	0
1.0434	0.29	0.09	0
1.0464	0.3	0.09	0
1.0493	0.31	0.09	0
1.0521	0.32	0.09	0
1.0548	0.33	0.09	0
1.0575	0.34	0.09	0
1.06	0.35	0.09	0
1.0624	0.36	0.09	0
1.0647	0.37	0.09	0
1.0669	0.38	0.09	0
1.0689	0.39	0.09	0
1.0708	0.4	0.09	0
1.0725	0.41	0.09	0
1.0741	0.42	0.09	0
1.0755	0.43	0.09	0
1.0767	0.44	0.09	0
1.0777	0.45	0.09	0
1.0786	0.46	0.09	0
1.0793	0.47	0.09	0
1.0797	0.48	0.09	0
1.08	0.49	0.09	0
1.0801	0.5	0.09	0
0.98029	0	0.1	0
0.98039	0.01	0.1	0
0.98069	0.02	0.1	0
0.98119	0.03	0.1	0
0.98189	0.04	0.1	0
0.98279	0.05	0.1	0
0.98388	0.06	0.1	0
0.98515	0.07	0.1	0
0.98661	0.08	0.1	0
0.98824	0.09	0.1	0
0.99004	0.1	0.1	0
0.99201	0.11	0.1	0
0.99413	0.12	0.1	0
0.99639	0.13	0.1	0
0.99879	0.14	0.1	0
1.0013	0.15	0.1	0
1.004	0.16	0.1	0
1.0067	0.17	0.1	0
1.0096	0.18	0.1	0
1.0125	0.19	0.1	0
1.0155	0.2	0.1	0
1.0186	0.21	0.1	0
1.0217	0.22	0.1	0
1.0249	0.23	0.1	0
1.028	0.24	0.1	0
1.0312	0.25	0.1	0
1.0344	0.26	0.1	0
1.0376	0.27	0.1	0
1.0407	0.28	0.1	0
1.0438	0.29	0.1	0
1.0469	0.3	0.1	0
1.0499	0.31	0.1	0
1.0528	0.32	0.1	0
1.0556	0.33	0.1	0
1.0584	0.34	0.1	0
1.061	0.35	0.1	0
1.0635	0.36	0.1	0
1.0659	0.37	0.1	0
1.0681	0.38	0.1	0
1.0702	0.39	0.1	0
1.0722	0.4	0.1	0
1.0739	0.41	0.1	0
1.0755	0.42	0.1	0
1.077	0.43	0.1	0
1.0782	0.44	0.1	0
1.0793	0.45	0.1	0
1.0802	0.46	0.1	0
1.0809	0.47	0.1	0
1.0814	0.48	0.1	0
1.0817	0.49	0.1	0
1.0818	0.5	0.1	0
0.97839	0	0.11	0
0.97849	0.01	0.11	0
0.97881	0.02	0.11	0
0.97933	0.03	0.11	0
0.98005	0.04	0.11	0
0.98098	0.05	0.11	0
0.98211	0.06	0.11	0
0.98343	0.07	0.11	0
0.98494	0.08	0.11	0
0.98663	0.09	0.11	0
0.9885	0.1	0.11	0
0.99054	0.11	0.11	0
0.99273	0.12	0.11	0
0.99508	0.13	0.11	0
0.99757	0.14	0.11	0
1.0002	0.15	0.11	0
1.0029	0.16	0.11	0
1.0058	0.17	0.11	0
1.0088	0.18	0.11	0
1.0118	0.19	0.11	0
1.0149	0.2	0.11	0
1.0181	0.21	0.11	0
1.0213	0.22	0.11	0
1.0246	0.23	0.11	0
1.0279	0.24	0.11	0
1.0312	0.25	0.11	0
1.0345	0.26	0.11	0
1.0378	0.27	0.11	0
1.041	0.28	0.11	0
1.0443	0.29	0.11	0
1.0474	0.3	0.11	0
1.0505	0.31	0.11	0
1.0536	0.32	0.11	0
1.0565	0.33	0.11	0
1.0593	0.34	0.11	0
1.0621	0.35	0.11	0
1.0647	0.36	0.11	0
1.0671	0.37	0.11	0
1.0695	0.38	0.11	0
1.0716	0.39	0.11	0
1.0736	0.4	0.11	0
1.0755	0.41	0.11	0
1.0772	0.42	0.11	0
1.0787	0.43	0.11	0
1.08	0.44	0.11	0
1.0811	0.45	0.11	0
1.082	0.46	0.11	0
1.0827	0.47	0.11	0
1.0832	0.48	0.11	0
1.0835	0.49	0.11	0
1.0836	0.5	0.11	0
0.97628	0	0.12	0
0.97639	0.01	0.12	0
0.97671	0.02	0.12	0
0.97725	0.03	0.12	0
0.97801	0.04	0.12	0
0.97897	0.05	0.12	0
0.98014	0.06	0.12	0
0.98152	0.07	0.12	0
0.98309	0.08	0.12	0
0.98485	0.09	0.12	0
0.98679	0.1	0.12	0
0.9889	0.11	0.12	0
0.99119	0.12	0.12	0
0.99363	0.13	0.12	0
0.99622	0.14	0.12	0
0.99894	0.15	0.12	0
1.0018	0.16	0.12	0
1.0048	0.17	0.12	0
1.0078	0.18	0.12	0
