#"p" "T" "U:0" "U:1" "U:2" "Points:0" "Points:1" "Points:2"
0.097526 1.8081 0.0011048 -0.0017134 -1.1939e-23 1.542 1.0118 0.5
0.087553 1.8305 0.0010821 -0.0016654 2.1992e-23 1.5565 1.0218 0.5
0.090935 1.818 0.0010767 -0.001698 -7.5718e-24 1.5591 1.0029 0.5
0.41189 1.4028 -0.00049957 0.00027847 2.8733e-24 1.6318 0.2714 0.5
0.44125 1.3825 -0.00049846 0.00035433 -7.7738e-24 1.6222 0.26585 0.5
0.43844 1.3834 -0.00050042 0.0003618 5.3774e-23 1.6205 0.27573 0.5
0.76347 1.1723 -0.0010173 0.0015134 3.1957e-24 1.3737 0.61581 0.5
0.71223 1.1952 -0.0011061 0.0015411 -9.303e-23 1.3759 0.63184 0.5
0.69041 1.2084 -0.0010769 0.0015579 1.4262e-23 1.3872 0.62529 0.5
0.21445 1.7276 0.0018903 -0.00056739 3.7793e-23 0.6203 1.549 0.5
0.22 1.7087 0.001797 -0.00051463 1.7744e-22 0.60204 1.533 0.5
0.215 1.7315 0.0019043 -0.00053456 -1.0375e-24 0.5936 1.5596 0.5
0.69738 1.2477 -0.00018948 5.3513e-05 1.7921e-23 1.5926 0.020382 0.5
0.72347 1.2365 -0.00018512 7.8065e-05 1.3804e-23 1.5876 0.030616 0.5
0.65497 1.2676 -0.00021746 7.2424e-05 2.1997e-23 1.6007 0.028549 0.5
0.25416 1.7758 -0.00014495 0.00036155 -1.3532e-22 -1.3944 0.46174 0.5
0.25345 1.7851 -0.00011985 0.00038018 -2.3621e-23 -1.4047 0.49308 0.5
0.25456 1.7684 -0.00014159 0.00038883 -1.6586e-22 -1.3702 0.49362 0.5
0.25313 1.7245 0.00050132 0.00074457 -1.193e-22 -0.84664 1.1728 0.5
0.25176 1.7401 0.0005236 0.00075815 -7.6827e-23 -0.8774 1.1805 0.5
0.25142 1.7395 0.00055365 0.00075624 1.3164e-22 -0.85291 1.202 0.5
0.081105 1.7925 0.00080277 -0.0017143 3.0509e-24 1.6389 0.84461 0.5
0.070012 1.8168 0.00081871 -0.0016854 6.8233e-24 1.6489 0.86228 0.5
0.068593 1.8159 0.00079325 -0.00168 -1.6345e-25 1.6568 0.84623 0.5
0.047046 2 0 0 0 1.6046 1.1939 0.5
0.052191 1.9771 0.00028254 -0.00037425 1.6463e-24 1.5838 1.1861 0.5
0.051052 2 0 0 0 1.5931 1.2091 0.5
0.24728 1.9224 -3.1537e-05 7.7533e-05 -3.1519e-23 -1.7782 0.20582 0.5
