#"p" "T" "U:0" "U:1" "U:2" "Points:0" "Points:1" "Points:2"
-1.4911 1.5676 -0.0006807 2.852e-06 0 -0.93979 0.019257 0
-1.4901 1.5618 -0.00067656 1.2047e-09 0 -0.93164 0 0
-1.7655 1.9617 -2.6303e-05 2.3421e-11 0 1.9697 0 0
-1.7687 1.9689 -1.7982e-05 -2.5485e-11 0 1.9747 0 0
-1.7667 1.9637 -2.3498e-05 -4.2751e-06 0 1.9711 0.0049677 0
-1.5833 1.6514 -0.00081667 1.8435e-10 0 1.7626 0 0
-1.5898 1.6587 -0.00080185 -1.0033e-05 0 1.7668 0.0040442 0
-1.5277 1.591 -0.00089333 -6.1765e-06 0 1.7302 0.0045498 0
-1.5216 1.5856 -0.00089955 3.8926e-10 0 1.7273 0 0
-1.5317 1.5953 -0.0008926 -1.0323e-09 0 1.7323 0 0
-1.0575 1.2971 -0.00052472 1.8699e-05 0 1.598 0.0050982 0
-1.0445 1.2917 -0.0005179 -2.434e-10 0 1.596 0 0
-1.0794 1.3049 -0.00055428 3.8971e-10 0 1.601 0 0
-1.5158 1.7652 -0.00049515 1.1742e-10 0 -1.255 0 0
-1.5151 1.7547 -0.00051567 -1.1741e-10 0 -1.2339 0 0
-1.5152 1.7597 -0.00050635 1.2246e-05 0 -1.2441 0.019497 0
-1.5176 1.7946 -0.00043004 1.4264e-10 0 -1.319 0 0
-1.5171 1.7847 -0.00045214 1.4962e-10 0 -1.2976 0 0
-1.5171 1.7881 -0.00044509 1.1757e-05 0 -1.304 0.018406 0
-1.2338 1.3802 -0.00074879 1.0329e-09 0 1.6313 0 0
-1.2449 1.3859 -0.00075057 9.2918e-06 0 1.6336 0.0047219 0
-1.4346 1.3813 -0.00046499 1.5814e-10 0 -0.74439 0 0
-1.4239 1.3596 -0.00042094 4.445e-11 0 -0.72627 0 0
-1.4306 1.3721 -0.00045518 -1.9102e-05 0 -0.73644 0.017346 0
-1.5225 1.9662 -2.3366e-05 3.669e-06 0 -1.8438 0.02096 0
-1.522 1.9273 -9.3176e-05 7.3511e-06 0 -1.6922 0.021438 0
-1.5223 1.9305 -8.6493e-05 -1.6901e-12 0 -1.7041 0 0
-1.5222 1.9241 -0.00010027 -9.7449e-13 0 -1.6804 0 0
-1.5226 1.9958 -3.9534e-07 3.8731e-07 0 -1.9796 0.020091 0
-1.5226 1.9981 -6.7647e-08 -3.3965e-14 0 -2 0 0
-1.5226 1.9944 -5.9689e-07 -2.2114e-14 0 -1.9745 0 0
-1.6947 1.8151 -0.00038965 -6.8447e-11 0 1.8636 0 0
-1.699 1.8225 -0.00036734 -2.5566e-10 0 1.8687 0 0
-1.6967 1.8168 -0.0003853 -9.459e-06 0 1.8643 0.0033962 0
-1.5207 1.8649 -0.00024979 9.7843e-11 0 -1.4955 0 0
-1.5205 1.8568 -0.00027078 -1.3915e-10 0 -1.473 0 0
-1.5204 1.8597 -0.000263 1.1153e-05 0 -1.4813 0.019927 0
-1.3877 1.2931 -0.00028045 4.5941e-10 0 -0.67251 0 0
-1.3712 1.2679 -0.00023214 1.4804e-11 0 -0.6548 0 0
-1.3836 1.2871 -0.00027853 -2.0139e-05 0 -0.66907 0.012839 0
-1.2898 1.4112 -0.00079992 7.1558e-06 0 1.6443 0.0047643 0
-1.1652 1.3448 -0.00066211 1.4479e-09 0 1.6162 0 0
-1.1906 1.3567 -0.00069417 -5.3575e-10 0 1.6212 0 0
-1.1804 1.3524 -0.00067895 1.1997e-05 0 1.6194 0.0047187 0
-0.28695 1.0694 -8.2542e-05 -6.8827e-11 0 1.5202 0 0
-0.35753 1.0856 -0.00010211 2.5389e-11 0 1.5253 0 0
-0.31827 1.0765 -6.942e-05 9.8031e-06 0 1.5224 0.0043903 0
-1.5413 1.6056 -0.00088381 1.8313e-10 0 1.7374 0 0
-1.4894 1.5544 -0.00091142 -4.5673e-06 0 1.7111 0.0041083 0
-1.479 1.5461 -0.0009156 9.9561e-10 0 1.7071 0 0
-1.4914 1.5567 -0.00091244 -2.4523e-10 0 1.7121 0 0
-1.6828 1.7918 -0.00045972 -1.1299e-05 0 1.8476 0.0040365 0
-1.6787 1.7856 -0.00047866 -8.941e-10 0 1.8434 0 0
-1.6829 1.7936 -0.00045557 1.0434e-09 0 1.8485 0 0
-0.49823 1.1182 -0.00014748 -2.9315e-10 0 1.5354 0 0
-0.54227 1.1299 -0.00015316 1.3043e-05 0 1.539 0.0039827 0
-1.5226 1.9789 -9.4109e-06 -3.1616e-12 0 -1.8991 0 0
-1.5225 1.977 -1.1217e-05 2.444e-06 0 -1.8901 0.020832 0
-1.7624 1.9532 -3.769e-05 -4.7482e-06 0 1.9628 0.0044154 0
-1.7604 1.9495 -4.3993e-05 -3.832e-11 0 1.9596 0 0
-1.7632 1.9558 -3.4469e-05 1.7554e-11 0 1.9646 0 0
-1.3494 1.2401 -0.00017966 -1.2469e-11 0 -0.6372 0 0
-1.3566 1.2484 -0.00020542 -1.9872e-05 0 -0.64226 0.014802 0
-1.3313 1.2163 -0.00012904 -6.6577e-11 0 -0.61969 0 0
-1.3064 1.1893 -8.3503e-05 -6.753e-11 0 -0.60229 0 0
-1.3229 1.2064 -0.00013304 -2.0924e-05 0 -0.614 0.015246 0
-1.5631 1.628 -0.0008526 -9.0221e-06 0 1.75 0.0041021 0
-1.5665 1.6324 -0.00084831 -6.5863e-10 0 1.7525 0 0
-1.621 1.6986 -0.00071737 -1.0133e-05 0 1.7902 0.003799 0
-1.6172 1.695 -0.00072737 1.2928e-10 0 1.7879 0 0
-1.6235 1.7031 -0.00070754 -5.0891e-10 0 1.7929 0 0
-1.4187 1.3482 -0.00040725 -1.9609e-05 0 -0.71656 0.016097 0
-1.522 1.91 -0.0001327 -1.9563e-11 0 -1.6334 0 0
-1.5217 1.9072 -0.0001402 8.5768e-06 0 -1.6225 0.019632 0
-1.3944 1.3049 -0.00031721 -1.7781e-05 0 -0.68299 0.014546 0
-1.4551 1.4321 -0.00056194 -1.1225e-05 0 -0.79059 0.015394 0
-1.4581 1.4413 -0.00056789 6.3817e-10 0 -0.79942 0 0
-0.99966 1.2733 -0.00045788 1.3661e-05 0 1.5888 0.0040041 0
-0.9795 1.2657 -0.00044302 2.3938e-10 0 1.5859 0 0
-1.0158 1.279 -0.00047967 5.7032e-11 0 1.5909 0 0
-1.673 1.7771 -0.00050258 9.0138e-10 0 1.8384 0 0
-1.6764 1.7805 -0.00049281 -1.2411e-05 0 1.8405 0.0045038 0
-1.5025 1.6344 -0.00066751 6.2433e-10 0 -1.0295 0 0
-1.5018 1.6293 -0.00067139 5.163e-06 0 -1.0212 0.016189 0
-1.4616 1.4517 -0.00058988 -8.0791e-06 0 -0.81005 0.015306 0
-1.4606 1.5302 -0.00091427 -1.8156e-06 0 1.6994 0.003886 0
-1.4548 1.5256 -0.00091551 -4.5585e-10 0 1.697 0 0
-1.4662 1.5354 -0.00091732 -9.8197e-10 0 1.702 0 0
-1.7575 1.9425 -5.5638e-05 3.3495e-11 0 1.9545 0 0
-1.7598 1.9474 -4.6885e-05 -4.9286e-06 0 1.9582 0.0038005 0
-1.1018 1.037 4.3137e-05 2.6961e-11 0 -0.5168 0 0
-1.0579 1.0131 4.6015e-05 -9.3869e-12 0 -0.5 0 0
-1.0862 1.0285 2.3201e-05 4.3823e-06 0 -0.51307 0.013395 0
-1.5127 1.7276 -0.00056537 1.0962e-05 0 -1.1822 0.017709 0
-1.5124 1.7217 -0.00057442 -1.1188e-10 0 -1.1713 0 0
-0.75197 1.1878 -0.0002524 1.3866e-05 0 1.5583 0.0044112 0
-0.72687 1.1804 -0.00024679 -3.9257e-11 0 1.5556 0 0
-0.7759 1.1948 -0.00027653 -1.7647e-10 0 1.5606 0 0
-1.2126 1.3682 -0.00072202 -6.3175e-10 0 1.6263 0 0
-1.2203 1.373 -0.00072817 9.5442e-06 0 1.6283 0.0043864 0
-1.5178 1.7997 -0.00041815 1.1461e-05 0 -1.3297 0.017369 0
-1.5065 1.6672 -0.00064474 8.095e-06 0 -1.0792 0.016635 0
-1.5061 1.6614 -0.00064969 -6.6972e-10 0 -1.0694 0 0
-1.294 1.1764 -9.7922e-05 -2.0078e-05 0 -0.59471 0.014306 0
-1.6527 1.7451 -0.00059551 -6.5731e-10 0 1.8182 0 0
-1.6576 1.7529 -0.00057305 -1.7953e-11 0 1.8232 0 0
-1.6564 1.7488 -0.00058449 -1.2108e-05 0 1.8204 0.0042328 0
-1.5166 1.7753 -0.00047394 -3.3306e-10 0 -1.2762 0 0
-1.5161 1.771 -0.00048397 1.0545e-05 0 -1.2666 0.016543 0
-1.6363 1.7208 -0.00066292 5.3608e-10 0 1.803 0 0
-1.6398 1.7249 -0.00064974 -1.1621e-05 0 1.8058 0.0041483 0
-1.5207 1.8688 -0.00023982 1.1488e-05 0 -1.5052 0.020926 0
-1.5211 1.8729 -0.00022828 2.4214e-10 0 -1.5181 0 0
-1.7259 1.8745 -0.00021633 2.6121e-10 0 1.904 0 0
-1.7282 1.878 -0.0002054 -9.0501e-06 0 1.9069 0.004028 0
-1.6941 1.8114 -0.00040161 -1.0703e-05 0 1.8606 0.0038543 0
-1.1082 1.3178 -0.00059267 6.7784e-11 0 1.6061 0 0
-1.0938 1.3113 -0.0005646 1.397e-05 0 1.6032 0.0040554 0
-1.3774 1.4667 -0.00088011 2.8577e-06 0 1.6694 0.0047024 0
-1.3699 1.4615 -0.00088025 -9.6997e-10 0 1.6667 0 0
-0.39458 1.093 -9.3444e-05 6.9182e-06 0 1.5272 0.0045773 0
-0.42735 1.1014 -0.00011965 1.4718e-10 0 1.5303 0 0
-1.5219 1.9125 -0.00012734 6.8086e-06 0 -1.6409 0.016497 0
-1.5221 1.9171 -0.00011623 -5.0693e-11 0 -1.6568 0 0
-1.5116 1.7153 -0.00058489 1.0245e-05 0 -1.16 0.016917 0
-1.5114 1.7101 -0.00059244 6.1451e-10 0 -1.1507 0 0
-1.635 1.7178 -0.00066908 -1.115e-05 0 1.8013 0.0037071 0
-1.6302 1.7118 -0.00068593 4.5036e-10 0 1.798 0 0
-1.1575 1.3413 -0.00065134 1.2318e-05 0 1.6149 0.0039131 0
-1.1384 1.3319 -0.00062861 -1.1772e-09 0 1.6111 0 0
-1.5737 1.6413 -0.00083321 1.4317e-09 0 1.7576 0 0
-1.5703 1.6361 -0.00084092 -8.4112e-06 0 1.7544 0.0038918 0
-1.7712 1.9752 -1.1756e-05 1.0008e-11 0 1.9798 0 0
-1.7725 1.9778 -9.5533e-06 -1.9755e-06 0 1.9821 0.0035632 0
-1.7201 1.8613 -0.00025246 -8.8977e-06 0 1.8951 0.0035746 0
-1.7223 1.8667 -0.0002371 -2.0268e-10 0 1.899 0 0
-1.5224 1.9524 -4.4361e-05 4.7997e-06 0 -1.7872 0.018996 0
-1.5167 1.5804 -0.00090011 -4.9287e-06 0 1.7245 0.0039365 0
-1.7466 1.9176 -0.00010524 -6.8009e-06 0 1.9358 0.0036193 0
-0.45255 1.1066 -0.00011692 1.0059e-05 0 1.5317 0.0033571 0
-1.5215 1.889 -0.00018702 -2.035e-10 0 -1.5638 0 0
-1.5212 1.8813 -0.00020611 -9.18e-11 0 -1.5409 0 0
-1.5213 1.8872 -0.00019117 8.3788e-06 0 -1.559 0.016147 0
-1.754 1.9356 -6.767e-05 -1.4278e-11 0 1.9495 0 0
-1.7555 1.9374 -6.4188e-05 -5.2962e-06 0 1.9508 0.003757 0
-1.5196 1.8359 -0.0003265 1.0268e-05 0 -1.4166 0.016511 0
-1.4722 1.4871 -0.00063292 -5.0055e-06 0 -0.84627 0.016896 0
-1.4076 1.4879 -0.0008983 -4.382e-07 0 1.6787 0.0034283 0
-1.5031 1.639 -0.0006661 4.7274e-06 0 -1.0358 0.012585 0
-1.5044 1.6479 -0.00066008 -1.3709e-10 0 -1.0494 0 0
-1.1185 1.323 -0.00059818 1.5005e-05 0 1.608 0.0042968 0
-1.4818 1.5228 -0.00066179 -2.6674e-06 0 -0.88499 0.017654 0
-0.94568 1.2522 -0.00041121 -2.1065e-10 0 1.5808 0 0
-0.92953 1.2466 -0.00038697 1.3091e-05 0 1.5788 0.0046804 0
-1.4889 1.5559 -0.0006766 1.1568e-06 0 -0.92473 0.012495 0
-1.7412 1.9055 -0.00013388 -7.5845e-06 0 1.9266 0.0037766 0
-1.5774 1.6445 -0.00082658 -9.1395e-06 0 1.7593 0.0040249 0
-1.7709 1.9738 -1.2878e-05 -2.3693e-06 0 1.9787 0.0034594 0
-1.5361 1.5996 -0.00088727 -5.7526e-06 0 1.7347 0.0036532 0
-1.522 1.9216 -0.00010565 6.5226e-06 0 -1.6723 0.016626 0
