#"temperature_average" "density_average" "mass_flow_average:0" "mass_flow_average:1" "Points:0" "Points:1"
0.65768 1.5272 0.004402 -0.002165 6 3
0.66708 1.5056 0.0050625 -0.0020258 7 3
0.67782 1.4818 0.0056887 -0.001873 8 3
0.68984 1.456 0.0062788 -0.0017108 9 3
0.7031 1.4285 0.0068287 -0.0015399 10 3
0.71755 1.3998 0.0073349 -0.0013626 11 3
0.73311 1.3701 0.0077947 -0.001182 12 3
0.74974 1.3398 0.0082056 -0.0010009 13 3
0.76735 1.3091 0.0085659 -0.00082211 14 3
0.78589 1.2784 0.008875 -0.00064813 15 3
0.80526 1.2477 0.0091325 -0.00048165 16 3
0.8254 1.2173 0.0093384 -0.00032469 17 3
0.84621 1.1875 0.0094939 -0.00017855 18 3
0.86762 1.1583 0.0096003 -4.4136e-05 19 3
0.88952 1.1299 0.0096589 7.9433e-05 20 3
0.91183 1.1023 0.0096725 0.00019346 21 3
0.93446 1.0758 0.0096439 0.00029773 22 3
0.9573 1.0502 0.0095732 0.00039203 23 3
0.98027 1.0257 0.0094605 0.00048142 24 3
1.0033 1.0023 0.0093136 0.00057669 25 3
1.0262 0.98 0.0091487 0.00067413 26 3
1.049 0.9588 0.0089664 0.00075412 27 3
1.0716 0.93868 0.0087552 0.00081482 28 3
1.0939 0.91966 0.0085133 0.00086709 29 3
1.1158 0.90171 0.0082443 0.00091464 30 3
1.1373 0.88483 0.0079516 0.0009581 31 3
1.1581 0.86899 0.0076371 0.00099761 32 3
1.1783 0.85418 0.0073028 0.0010336 33 3
1.1978 0.84037 0.0069508 0.0010667 34 3
1.2165 0.82755 0.0065827 0.0010968 35 3
1.2344 0.81568 0.0062003 0.001124 36 3
1.2513 0.80474 0.0058047 0.0011483 37 3
1.2672 0.79471 0.0053972 0.0011699 38 3
1.282 0.78558 0.0049792 0.0011891 39 3
1.2958 0.7773 0.0045524 0.0012059 40 3
1.3084 0.76988 0.0041182 0.0012203 41 3
1.3198 0.76329 0.003678 0.0012326 42 3
1.3299 0.75751 0.0032322 0.0012429 43 3
1.3388 0.75253 0.0027811 0.0012516 44 3
1.3464 0.74834 0.0023249 0.0012587 45 3
1.3526 0.74492 0.0018636 0.0012644 46 3
1.3575 0.74228 0.0013993 0.0012687 47 3
1.361 0.74038 0.00093392 0.0012725 48 3
1.3631 0.73923 0.00048572 0.0012761 49 3
1.3638 0.73886 0.0002706 0.0012779 50 3
0.6581 1.5263 0.00044465 -0.0031136 0 4
0.65881 1.5246 0.00067285 -0.0031259 1 4
0.66092 1.5196 0.0012192 -0.0031213 2 4
0.66439 1.5117 0.0018484 -0.0030688 3 4
0.66919 1.5009 0.0024686 -0.002983 4 4
0.67532 1.4873 0.0030765 -0.0028694 5 4
0.68276 1.4711 0.0036615 -0.0027312 6 4
