#        X        v_x      -p_xy       -q_x
2.1096e-01 1.9885e-01 2.8276e-02 4.6738e-06
2.1487e-01 2.0253e-01 2.8276e-02 5.0137e-06
2.1878e-01 2.0621e-01 2.8276e-02 5.3777e-06
2.2268e-01 2.0990e-01 2.8276e-02 5.7678e-06
2.2659e-01 2.1358e-01 2.8276e-02 6.1857e-06
2.3049e-01 2.1726e-01 2.8276e-02 6.6336e-06
2.3440e-01 2.2094e-01 2.8276e-02 7.1137e-06
2.3831e-01 2.2463e-01 2.8276e-02 7.6285e-06
2.4221e-01 2.2831e-01 2.8276e-02 8.1806e-06
2.4612e-01 2.3199e-01 2.8276e-02 8.7728e-06
2.5003e-01 2.3568e-01 2.8276e-02 9.4084e-06
2.5393e-01 2.3936e-01 2.8276e-02 1.0091e-05
2.5784e-01 2.4304e-01 2.8276e-02 1.0823e-05
2.6174e-01 2.4673e-01 2.8276e-02 1.1610e-05
2.6565e-01 2.5041e-01 2.8276e-02 1.2456e-05
2.6956e-01 2.5409e-01 2.8276e-02 1.3364e-05
2.7346e-01 2.5778e-01 2.8276e-02 1.4341e-05
2.7737e-01 2.6146e-01 2.8276e-02 1.5392e-05
2.8128e-01 2.6514e-01 2.8276e-02 1.6521e-05
2.8518e-01 2.6883e-01 2.8276e-02 1.7737e-05
2.8909e-01 2.7251e-01 2.8276e-02 1.9045e-05
2.9299e-01 2.7620e-01 2.8276e-02 2.0454e-05
2.9690e-01 2.7988e-01 2.8276e-02 2.1972e-05
3.0081e-01 2.8357e-01 2.8276e-02 2.3609e-05
3.0471e-01 2.8725e-01 2.8276e-02 2.5374e-05
3.0862e-01 2.9094e-01 2.8276e-02 2.7280e-05
3.1253e-01 2.9462e-01 2.8276e-02 2.9336e-05
3.1643e-01 2.9831e-01 2.8276e-02 3.1557e-05
3.2034e-01 3.0200e-01 2.8276e-02 3.3956e-05
3.2424e-01 3.0568e-01 2.8276e-02 3.6549e-05
3.2815e-01 3.0937e-01 2.8276e-02 3.9351e-05
3.3206e-01 3.1306e-01 2.8276e-02 4.2384e-05
3.3596e-01 3.1675e-01 2.8276e-02 4.5668e-05
3.3987e-01 3.2043e-01 2.8276e-02 4.9229e-05
3.4378e-01 3.2412e-01 2.8276e-02 5.3093e-05
3.4768e-01 3.2781e-01 2.8276e-02 5.7291e-05
3.5159e-01 3.3151e-01 2.8276e-02 6.1853e-05
3.5549e-01 3.3520e-01 2.8276e-02 6.6813e-05
3.5940e-01 3.3889e-01 2.8276e-02 7.2206e-05
3.6331e-01 3.4258e-01 2.8276e-02 7.8067e-05
3.6721e-01 3.4628e-01 2.8276e-02 8.4443e-05
3.7112e-01 3.4997e-01 2.8276e-02 9.1394e-05
3.7503e-01 3.5367e-01 2.8276e-02 9.8989e-05
3.7893e-01 3.5737e-01 2.8276e-02 1.0730e-04
3.8284e-01 3.6107e-01 2.8276e-02 1.1642e-04
3.8674e-01 3.6477e-01 2.8276e-02 1.2642e-04
3.9065e-01 3.6847e-01 2.8276e-02 1.3737e-04
3.9456e-01 3.7218e-01 2.8276e-02 1.4937e-04
3.9846e-01 3.7589e-01 2.8276e-02 1.6252e-04
4.0237e-01 3.7960e-01 2.8276e-02 1.7700e-04
4.0628e-01 3.8331e-01 2.8276e-02 1.9302e-04
4.1018e-01 3.8703e-01 2.8276e-02 2.1078e-04
4.1409e-01 3.9075e-01 2.8276e-02 2.3048e-04
4.1799e-01 3.9448e-01 2.8276e-02 2.5223e-04
4.2190e-01 3.9821e-01 2.8276e-02 2.7628e-04
4.2581e-01 4.0194e-01 2.8276e-02 3.0309e-04
4.2971e-01 4.0568e-01 2.8276e-02 3.3318e-04
4.3362e-01 4.0943e-01 2.8276e-02 3.6698e-04
4.3753e-01 4.1319e-01 2.8276e-02 4.0475e-04
4.4143e-01 4.1696e-01 2.8276e-02 4.4710e-04
4.4534e-01 4.2073e-01 2.8276e-02 4.9518e-04
4.4924e-01 4.2453e-01 2.8276e-02 5.5000e-04
4.5315e-01 4.2833e-01 2.8276e-02 6.1227e-04
4.5706e-01 4.3216e-01 2.8276e-02 6.8349e-04
4.6096e-01 4.3600e-01 2.8276e-02 7.6592e-04
4.6487e-01 4.3988e-01 2.8276e-02 8.6186e-04
4.6878e-01 4.4378e-01 2.8276e-02 9.7336e-04
4.7268e-01 4.4773e-01 2.8276e-02 1.1067e-03
4.7659e-01 4.5173e-01 2.8276e-02 1.2642e-03
4.8049e-01 4.5580e-01 2.8276e-02 1.4582e-03
4.8440e-01 4.5996e-01 2.8276e-02 1.6985e-03
4.8831e-01 4.6426e-01 2.8276e-02 2.0057e-03
4.9221e-01 4.6877e-01 2.8276e-02 2.4202e-03
4.9612e-01 4.7368e-01 2.8276e-02 3.0351e-03
4.9903e-01 4.7800e-01 2.8276e-02 3.8243e-03
4.9976e-01 4.7940e-01 2.8276e-02 4.1789e-03
4.9995e-01 4.7984e-01 2.8276e-02 4.3126e-03
4.9999e-01 4.7998e-01 2.8276e-02 4.3593e-03
# k = 0.03, Nu = 256, Ng = 8, N_points = 2630, error_U = 5.73e-06, error_Pxy = 9.96e-09
