#        X        v_x        v_x      -p_xy       -q_x
2.6500e-01 2.4949e-01 2.4716e-01 2.8290e-02 -1.2502e-04
2.7000e-01 2.5421e-01 2.5183e-01 2.8290e-02 -1.2649e-04
2.7500e-01 2.5893e-01 2.5651e-01 2.8290e-02 -1.2766e-04
2.8000e-01 2.6366e-01 2.6119e-01 2.8290e-02 -1.2852e-04
2.8500e-01 2.6838e-01 2.6586e-01 2.8290e-02 -1.2902e-04
2.9000e-01 2.7310e-01 2.7054e-01 2.8290e-02 -1.2912e-04
2.9500e-01 2.7782e-01 2.7522e-01 2.8290e-02 -1.2874e-04
3.0000e-01 2.8254e-01 2.7990e-01 2.8290e-02 -1.2776e-04
3.0500e-01 2.8727e-01 2.8458e-01 2.8290e-02 -1.2817e-04
3.1000e-01 2.9200e-01 2.8927e-01 2.8290e-02 -1.2881e-04
3.1500e-01 2.9673e-01 2.9395e-01 2.8290e-02 -1.2868e-04
3.2000e-01 3.0146e-01 2.9864e-01 2.8290e-02 -1.2779e-04
3.2500e-01 3.0619e-01 3.0332e-01 2.8290e-02 -1.2608e-04
3.3000e-01 3.1092e-01 3.0801e-01 2.8290e-02 -1.2351e-04
3.3500e-01 3.1565e-01 3.1270e-01 2.8290e-02 -1.1993e-04
3.4000e-01 3.2038e-01 3.1738e-01 2.8290e-02 -1.1509e-04
3.4500e-01 3.2512e-01 3.2208e-01 2.8290e-02 -1.1236e-04
3.5000e-01 3.2987e-01 3.2678e-01 2.8290e-02 -1.0952e-04
3.5500e-01 3.3461e-01 3.3148e-01 2.8290e-02 -1.0486e-04
3.6000e-01 3.3936e-01 3.3618e-01 2.8290e-02 -9.8501e-05
3.6500e-01 3.4410e-01 3.4087e-01 2.8290e-02 -9.0471e-05
3.7000e-01 3.4884e-01 3.4557e-01 2.8290e-02 -8.0597e-05
3.7500e-01 3.5358e-01 3.5027e-01 2.8290e-02 -7.0177e-05
3.8000e-01 3.5835e-01 3.5499e-01 2.8290e-02 -6.1148e-05
3.8500e-01 3.6312e-01 3.5971e-01 2.8290e-02 -4.8429e-05
3.9000e-01 3.6788e-01 3.6443e-01 2.8290e-02 -3.3011e-05
3.9500e-01 3.7262e-01 3.6913e-01 2.8290e-02 -1.5504e-05
4.0000e-01 3.7737e-01 3.7384e-01 2.8290e-02 3.9390e-06
4.0500e-01 3.8218e-01 3.7860e-01 2.8290e-02 2.6308e-05
4.1000e-01 3.8698e-01 3.8335e-01 2.8290e-02 5.3808e-05
4.1500e-01 3.9175e-01 3.8807e-01 2.8290e-02 8.2398e-05
4.2000e-01 3.9649e-01 3.9277e-01 2.8290e-02 1.1131e-04
4.2500e-01 4.0136e-01 3.9760e-01 2.8290e-02 1.5739e-04
4.3000e-01 4.0618e-01 4.0238e-01 2.8290e-02 2.0522e-04
4.3500e-01 4.1092e-01 4.0707e-01 2.8290e-02 2.4231e-04
4.4000e-01 4.1584e-01 4.1194e-01 2.8290e-02 3.1671e-04
4.4500e-01 4.2070e-01 4.1675e-01 2.8290e-02 3.8846e-04
4.5000e-01 4.2549e-01 4.2150e-01 2.8290e-02 4.4937e-04
4.5500e-01 4.3049e-01 4.2645e-01 2.8290e-02 5.7067e-04
4.6000e-01 4.3528e-01 4.3120e-01 2.8290e-02 6.4383e-04
4.6500e-01 4.4033e-01 4.3620e-01 2.8290e-02 8.0103e-04
4.7000e-01 4.4532e-01 4.4114e-01 2.8290e-02 9.4688e-04
4.7500e-01 4.5027e-01 4.4605e-01 2.8290e-02 1.0960e-03
4.8000e-01 4.5535e-01 4.5109e-01 2.8290e-02 1.3018e-03
4.8500e-01 4.6056e-01 4.5624e-01 2.8290e-02 1.5544e-03
4.9000e-01 4.6601e-01 4.6164e-01 2.8290e-02 1.9494e-03
4.9500e-01 4.7204e-01 4.6762e-01 2.8290e-02 2.6241e-03
5.0000e-01 4.7999e-01 4.7774e-01 2.8290e-02 4.2471e-03
